Blocker_scaling_factor,Reimers_scaling_factor,Final_CO_WD_Mass
4.778225440120000000e-02,3.015973049530000227e-01,5.532807931015694125e-01
1.257202861119999932e-02,3.407053427200000262e-01,5.684441059246406747e-01
2.605831787510000212e-03,7.254844223009999649e-01,5.569316863248887639e-01
2.616259458609999922e-02,8.989788205969999613e-01,4.902334624456869960e-01
8.417370907329999735e-03,4.777754733380000229e-01,5.662890349731667383e-01
8.009610513369999629e-02,5.991114143710000173e-01,5.366466384737663686e-01
3.975512474580000094e-02,5.085141494510000415e-01,5.467124483697818338e-01
7.057456306779999466e-02,3.082053579260000120e-01,5.496460450899821604e-01
5.686193487970000321e-02,8.853713166500000176e-01,4.987417086001037503e-01
2.391067536100000002e-02,7.423944716129999843e-01,5.331228164135097813e-01
9.953488420450000429e-02,8.409710191579999883e-01,5.091650997793689681e-01
9.946816279049999765e-02,8.373993763689999703e-01,5.102325956671703855e-01
2.043146514399999877e-02,5.359246483859999577e-01,5.508001244222210380e-01
1.908837000700000161e-02,5.591654510100000364e-01,5.500197715763756046e-01
7.408325628829999510e-02,3.610410239290000045e-01,5.466766507886405835e-01
4.888026652349999890e-02,8.009847635769999918e-01,5.206302298182522437e-01
4.014149299690000089e-02,8.731378591289999935e-01,5.030582907259876224e-01
2.180840139829999871e-02,3.661443890269999724e-01,5.585813965220428612e-01
5.313976288410000165e-02,6.228408308439999930e-01,5.376951069817190731e-01
9.976768057880000540e-02,3.781433598939999974e-01,5.444668407246303632e-01
3.951707692800000143e-02,7.137457175879999838e-01,5.335407891497430111e-01
3.968018294819999903e-02,4.008700838170000114e-01,5.509165466705568948e-01
5.027485766610000247e-03,8.888064122950000145e-01,5.009767546107488645e-01
9.879983828579999572e-02,6.391412723560000453e-01,5.324180803894922320e-01
9.003469454910000003e-02,4.830081969900000272e-01,5.406614945465486599e-01
2.570249296019999977e-02,8.909918413570000473e-01,4.936626398810687877e-01
6.137258302040000252e-03,5.707204728789999626e-01,5.631644395751506105e-01
2.687347214940000173e-02,7.533349345350000004e-01,5.301926773026041095e-01
9.592890755029999383e-02,8.090157192039999501e-01,5.164569437133053054e-01
3.002871282490000154e-02,6.969168495730000412e-01,5.358359657053952674e-01
5.028053979790000211e-03,4.608952550800000103e-01,5.766442082314057194e-01
3.811731339840000038e-02,5.964673686720000090e-01,5.421827514618696719e-01
6.478821488640000570e-02,8.938670658330000185e-01,4.919338550462500348e-01
1.921660754779999994e-02,7.150882550630000001e-01,5.368136748012184434e-01
8.632187919790000608e-02,4.747801015049999962e-01,5.410140552677609183e-01
7.125283827810000026e-02,5.412448080639999937e-01,5.404657467791152969e-01
5.718530114610000104e-02,8.706711861310000300e-01,5.019209565702984488e-01
2.345916417929999956e-02,4.498960256899999788e-01,5.535381586756733530e-01
6.599768850069999415e-02,4.759368696579999725e-01,5.445874271087075558e-01
1.567503593570000048e-02,8.432997796619999820e-01,5.141210619807126125e-01
1.528131516849999929e-03,5.146337296059999566e-01,5.976677795522730152e-01
